characteristic_id	formula_latex	formula_direction	data_fields	calculation_window_zh	calculation_window_en	accounting_lag_zh	accounting_lag_en	source_label	source_url	provenance	source_commit	code_path	code_lines	code_frequency_zh	code_frequency_en	reconcile_url	notes_zh	notes_en
roe	\(\displaystyle \mathrm{ROE}_{i,t}=\frac{\mathrm{IB}_{i,t}}{\mathrm{CEQ}_{i,t-1}}\)	+1	Compustat: CEQ, IB	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L674, L1777	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L674	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	674,1777	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
roic	\(\displaystyle \mathrm{ROIC}_{i,t}=\frac{\mathrm{EBIT}_{i,t}-\mathrm{NOPI}_{i,t}}{\mathrm{CEQ}_{i,t}+\mathrm{LT}_{i,t}-\mathrm{CHE}_{i,t}}\)		Compustat: EBIT, NOPI, CEQ, LT, CHE	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L684	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L684	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	684	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
rsup	\(\displaystyle \mathrm{RSUP}_{i,t}=\frac{\mathrm{SALE}_{i,t}-\mathrm{SALE}_{i,t-1}}{\mathrm{ME}_{i,t}}\)	+1	Compustat: SALE	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L2308, L2450	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L2308	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	2308,2450	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
rvar_capm	\(\displaystyle \mathrm{RVAR\_CAPM}_{i,t}=\frac{1}{w-1}\sum_{s=t-w+1}^{t}(\varepsilon_{i,s}-\overline{\varepsilon}_{i,t})^2\), where \(\varepsilon\) is from a rolling CAPM excess-return regression.	-1	Derived/intermediate variables; raw fields not stated	日频输入；滚动 3 个月，至少 21 个观测。	Daily inputs; rolling three months with at least 21 observations.	信号在 t 月形成；最终输出将收益移至 t+1 月。	The signal is formed at month t; final output shifts the return to month t+1.	EquityChars CIZ · rolling_chars.py · L114	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/rolling_chars.py#L114	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/rolling_chars.py	114	日频输入；滚动 3 个月，至少 21 个观测。	Daily inputs; rolling three months with at least 21 observations.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
rvar_ff3	\(\displaystyle \mathrm{RVAR\_FF3}_{i,t}=\frac{1}{w-1}\sum_{s=t-w+1}^{t}(\varepsilon_{i,s}-\overline{\varepsilon}_{i,t})^2\), where \(\varepsilon\) is from a rolling Fama--French three-factor regression.	-1	Derived/intermediate variables; raw fields not stated	日频输入；滚动 3 个月，至少 21 个观测。	Daily inputs; rolling three months with at least 21 observations.	信号在 t 月形成；最终输出将收益移至 t+1 月。	The signal is formed at month t; final output shifts the return to month t+1.	EquityChars CIZ · rolling_chars.py · L285	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/rolling_chars.py#L285	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/rolling_chars.py	285	日频输入；滚动 3 个月，至少 21 个观测。	Daily inputs; rolling three months with at least 21 observations.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
rvar_mean	\(\displaystyle \mathrm{RVAR\_MEAN}_{i,t}=\frac{1}{w-1}\sum_{s=t-w+1}^{t}(\mathrm{RET}_{i,s}-\overline{\mathrm{RET}}_{i,t})^2\)		CRSP daily: RET	日频输入；滚动 3 个月，至少 21 个观测。	Daily inputs; rolling three months with at least 21 observations.	信号在 t 月形成；最终输出将收益移至 t+1 月。	The signal is formed at month t; final output shifts the return to month t+1.	EquityChars CIZ · rolling_chars.py · L144	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/rolling_chars.py#L144	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/rolling_chars.py	144	日频输入；滚动 3 个月，至少 21 个观测。	Daily inputs; rolling three months with at least 21 observations.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
salecash	\(\displaystyle \mathrm{SALECASH}_{i,t}=\frac{\mathrm{SALE}_{i,t}}{\mathrm{CHE}_{i,t}}\)		Compustat: SALE, CHE	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L827	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L827	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	827	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
saleinv	\(\displaystyle \mathrm{SALEINV}_{i,t}=\frac{\mathrm{SALE}_{i,t}}{\mathrm{INVT}_{i,t}}\)		Compustat: SALE, INVT	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L837	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L837	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	837	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
salerec	\(\displaystyle \mathrm{SALEREC}_{i,t}=\frac{\mathrm{SALE}_{i,t}}{\mathrm{RECT}_{i,t}}\)		Compustat: SALE, RECT	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L832	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L832	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	832	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
seas1a	\(\displaystyle \mathrm{SEAS1A}_{i,t}=\mathrm{RET}_{i,t-11}\)	+1	CRSP: RET	月频。	Monthly.	信号在 t 月形成；最终输出将收益移至 t+1 月。	The signal is formed at month t; final output shifts the return to month t+1.	EquityChars CIZ · accounting.py · L2131	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L2131	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	2131	月频。	Monthly.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
secured	\(\displaystyle \mathrm{SECURED}_{i,t}=\frac{\mathrm{DM}_{i,t}}{\mathrm{DLTT}_{i,t}}\)		Compustat: DLTT, DM	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L1192	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L1192	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	1192	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
securedind	\(\displaystyle \mathrm{SECUREDIND}_{i,t}=\mathbf{1}\{\mathrm{DM}_{i,t}\ne0\}\)		Compustat: DM	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L1200	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L1200	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	1200	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
sgr	\(\displaystyle \mathrm{SGR}_{i,t}=\frac{\mathrm{SALE}_{i,t}}{\mathrm{SALE}_{i,t-1}}-1\)	+1	Compustat: SALE	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L556, L1643	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L556	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	556,1643	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
sin	\(\displaystyle \mathrm{SIN}_{i,t}=\mathbf{1}\{\mathrm{SIC}\in[2100,2199]\cup[2080,2085]\ \lor\ \mathrm{NAICS}\in\mathcal{G}_{gaming}\}\)		Compustat segments: SIC, NAICS, firm/segment identifiers	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L1218	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L1218	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	1218	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
sp	\(\displaystyle \mathrm{SP}_{i,t}=\frac{\mathrm{SALE}_{i,t}}{\mathrm{ME}_{i,t}}\)	+1	Compustat: SALE	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L2318, L2440	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L2318	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	2318,2440	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
std_dolvol	\(\displaystyle \mathrm{STD\_DOLVOL}_{i,t}=\operatorname{Std}_{s=t-w+1}^{t} \left(\log|\mathrm{VOL}_{i,s}\mathrm{PRC}_{i,s}|\right)\)	-1	CRSP: PRC, VOL	日频输入；滚动 3 个月，至少 21 个观测。	Daily inputs; rolling three months with at least 21 observations.	信号在 t 月形成；最终输出将收益移至 t+1 月。	The signal is formed at month t; final output shifts the return to month t+1.	EquityChars CIZ · rolling_chars.py · L174	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/rolling_chars.py#L174	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/rolling_chars.py	174	日频输入；滚动 3 个月，至少 21 个观测。	Daily inputs; rolling three months with at least 21 observations.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
std_turn	\(\displaystyle \mathrm{STD\_TURN}_{i,t}=\operatorname{Std}_{s=t-w+1}^{t} \left(\frac{\mathrm{VOL}_{i,s}}{\mathrm{SHROUT}_{i,s}}\right)\)	-1	CRSP: SHROUT, VOL	日频输入；滚动 3 个月，至少 21 个观测。	Daily inputs; rolling three months with at least 21 observations.	信号在 t 月形成；最终输出将收益移至 t+1 月。	The signal is formed at month t; final output shifts the return to month t+1.	EquityChars CIZ · rolling_chars.py · L189	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/rolling_chars.py#L189	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/rolling_chars.py	189	日频输入；滚动 3 个月，至少 21 个观测。	Daily inputs; rolling three months with at least 21 observations.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
sue	\(\displaystyle \mathrm{SUE}_{i,t}=\frac{\mathrm{EPS}_{i,t}-\mathrm{EPS}_{i,t-4}}{\mathrm{SUE\_STD}_{i,t}},\quad \mathrm{EPS}_{i,t}=\frac{\mathrm{EPSPXQ}_{i,t}}{\mathrm{AJEXQ}_{i,t}}\)	+1	Compustat: AJEXQ, EPSPXQ	季度财报；季度 SUE 对齐到月度。	Quarterly earnings; quarterly SUE aligned to monthly dates.	按 chars_ciz 的季度或事件日期对齐；未另行添加页面假设。	Aligned by the chars_ciz quarterly or event-date rule; the page adds no extra assumption.	EquityChars CIZ · sue.py · L109	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/sue.py#L109	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/sue.py	109	季度财报；季度 SUE 对齐到月度。	Quarterly earnings; quarterly SUE aligned to monthly dates.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
tang	\(\displaystyle \mathrm{TANG}_{i,t}=\frac{\mathrm{CHE}_{i,t}+0.715\,\mathrm{RECT}_{i,t}+0.547\,\mathrm{INVT}_{i,t}+0.535\,\mathrm{PPENT}_{i,t}}{\mathrm{AT}_{i,t}}\)		Compustat: CHE, RECT, INVT, PPENT, AT, SIC	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L1225	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L1225	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	1225	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
tb	\(\displaystyle T_{i,t}=\frac{\operatorname{coalesce}(\mathrm{TXFO}_{i,t}+\mathrm{TXFED}_{i,t},\mathrm{TXT}_{i,t}-\mathrm{TXDI}_{i,t})}{\tau_t\,\mathrm{IB}_{i,t}},\quad \mathrm{TB}_{i,t}=T_{i,t}-\overline{T}_{\mathrm{FFI49}(i),t}\)		Compustat: IB, TXDI, TXFED, TXFO, TXT; Fama–French 49 industry	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L1279	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L1279	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	1279	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
turn	\(\displaystyle \mathrm{TURN}_{i,t}=\frac{(\mathrm{VOL}_{i,t-1}+\mathrm{VOL}_{i,t-2}+\mathrm{VOL}_{i,t-3})/3/1000}{\mathrm{SHROUT}_{i,t}}\)	-1	CRSP: SHROUT, VOL	月频；前 3 个月成交量均值除以当期流通股数。	Monthly; mean volume over the prior three months divided by current shares outstanding.	信号在 t 月形成；最终输出将收益移至 t+1 月。	The signal is formed at month t; final output shifts the return to month t+1.	EquityChars CIZ · accounting.py · L2150	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L2150	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	2150	月频。	Monthly.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
zerotrade	\(\displaystyle \mathrm{ZEROTRADE}_{i,t}= \left(\sum_{s=t-w+1}^{t}\mathrm{COUNTZERO}_{i,s}+ \frac{1}{\sum_{s=t-w+1}^{t}\mathrm{TURN}_{i,s}}/11000\right) \frac{21\cdot 3}{w}\)	+1	CRSP: COUNTZERO	日频输入；滚动 3 个月，至少 21 个观测。	Daily inputs; rolling three months with at least 21 observations.	信号在 t 月形成；最终输出将收益移至 t+1 月。	The signal is formed at month t; final output shifts the return to month t+1.	EquityChars CIZ · rolling_chars.py · L214	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/rolling_chars.py#L214	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/rolling_chars.py	214	日频输入；滚动 3 个月，至少 21 个观测。	Daily inputs; rolling three months with at least 21 observations.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
